Date,open,high,low,close,adj_close,volume
2015-01-02,0.400000,0.450000,0.400000,0.400000,0.400000,4100
2015-01-05,0.450000,0.450000,0.400000,0.450000,0.450000,22869
2015-01-06,0.450000,0.450000,0.450000,0.450000,0.450000,2000
2015-01-07,0.400000,0.400000,0.400000,0.400000,0.400000,10753
2015-01-08,0.400000,0.400000,0.350000,0.400000,0.400000,2100
2015-01-09,0.350000,0.400000,0.350000,0.350000,0.350000,7300
2015-01-12,0.300000,0.300000,0.300000,0.300000,0.300000,1500
2015-01-13,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-01-14,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-01-15,0.300000,0.300000,0.300000,0.300000,0.300000,3000
2015-01-16,0.350000,0.350000,0.350000,0.350000,0.350000,4497
2015-01-19,0.300000,0.300000,0.300000,0.300000,0.300000,6501
2015-01-20,0.350000,0.350000,0.350000,0.350000,0.350000,100
2015-01-21,0.300000,0.300000,0.300000,0.300000,0.300000,300
2015-01-22,0.300000,0.300000,0.300000,0.300000,0.300000,11000
2015-01-23,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-01-27,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-01-28,0.300000,0.300000,0.300000,0.300000,0.300000,1000
2015-01-29,0.300000,0.300000,0.250000,0.300000,0.300000,507
2015-01-30,0.300000,0.300000,0.250000,0.300000,0.300000,1500
2015-02-02,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-02-03,0.300000,0.300000,0.300000,0.300000,0.300000,2000
2015-02-04,0.300000,0.300000,0.250000,0.300000,0.300000,5070
2015-02-05,0.300000,0.300000,0.300000,0.300000,0.300000,1007
2015-02-06,0.300000,0.300000,0.300000,0.300000,0.300000,110
2015-02-09,0.300000,0.300000,0.300000,0.300000,0.300000,100
2015-02-10,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-02-11,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-02-12,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-02-13,0.300000,0.300000,0.300000,0.300000,0.300000,5000
2015-02-16,0.250000,0.250000,0.250000,0.250000,0.250000,28577
2015-02-18,0.250000,0.300000,0.200000,0.300000,0.300000,1100
2015-02-19,0.250000,0.300000,0.250000,0.250000,0.250000,3300
2015-02-20,0.200000,0.200000,0.200000,0.200000,0.200000,5795
2015-02-23,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-02-24,0.200000,0.200000,0.200000,0.200000,0.200000,8853
2015-02-25,0.250000,0.250000,0.250000,0.250000,0.250000,1000
2015-02-26,0.300000,0.300000,0.300000,0.300000,0.300000,25
2015-02-27,0.300000,0.300000,0.300000,0.300000,0.300000,11200
2015-02-28,null,null,null,null,null,null
2015-03-02,0.250000,0.250000,0.250000,0.250000,0.250000,4000
2015-03-03,0.250000,0.250000,0.250000,0.250000,0.250000,2115
2015-03-04,0.250000,0.250000,0.250000,0.250000,0.250000,1100
2015-03-05,0.250000,0.250000,0.250000,0.250000,0.250000,595
2015-03-09,0.250000,0.300000,0.250000,0.300000,0.300000,5864
2015-03-10,0.350000,0.350000,0.300000,0.350000,0.350000,1010
2015-03-11,0.350000,0.350000,0.350000,0.350000,0.350000,100
2015-03-12,0.300000,0.300000,0.300000,0.300000,0.300000,5200
2015-03-13,0.250000,0.250000,0.250000,0.250000,0.250000,1757
2015-03-16,0.200000,0.200000,0.200000,0.200000,0.200000,3000
2015-03-17,0.250000,0.250000,0.250000,0.250000,0.250000,1000
2015-03-18,0.300000,0.300000,0.300000,0.300000,0.300000,50
2015-03-19,0.250000,0.250000,0.250000,0.250000,0.250000,1
2015-03-20,0.200000,0.200000,0.200000,0.200000,0.200000,500
2015-03-23,0.200000,0.200000,0.200000,0.200000,0.200000,1610
2015-03-24,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-03-25,0.200000,0.200000,0.200000,0.200000,0.200000,500
2015-03-26,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-03-27,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-03-30,0.150000,0.200000,0.150000,0.150000,0.150000,10000
2015-03-31,0.200000,0.200000,0.200000,0.200000,0.200000,1
2015-04-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-04-06,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-04-07,0.250000,0.250000,0.250000,0.250000,0.250000,5
2015-04-08,0.250000,0.250000,0.200000,0.250000,0.250000,1850
2015-04-09,0.250000,0.250000,0.250000,0.250000,0.250000,98
2015-04-10,0.300000,0.300000,0.300000,0.300000,0.300000,2700
2015-04-13,0.250000,0.300000,0.250000,0.250000,0.250000,11100
2015-04-15,0.250000,0.300000,0.250000,0.300000,0.300000,710
2015-04-16,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-04-17,0.300000,0.300000,0.300000,0.300000,0.300000,0
2015-04-20,0.250000,0.250000,0.250000,0.250000,0.250000,101
2015-04-21,0.250000,0.250000,0.250000,0.250000,0.250000,200
